
2023-10-18 09:38:34.508813 Cannot insert the value NULL into column 'VATIncluded', table 'InfinityPOS.dbo.psSales'; column does not allow nulls. INSERT fails.
2023-10-18 10:08:14.795721 {'Sales': [{'SaleItems': [{'Barcode': '2300830000002', 'Qty': '2.000', 'ItemDueAmount': 3600}, {'Barcode': '2300230000008', 'Qty': '1.000', 'ItemDueAmount': 4000}, {'Barcode': '8656020681013', 'Qty': '1.000', 'ItemDueAmount': 1500}], 'SalePayments': [{'PaymentTypeID': 'QPay', 'PaymentAmount': 9100}], 'TerminalID': '3417', 'CashierEmpCode': '200', 'DDTDNo': '000002057441034231018003417000099', 'TxnType': 'IN', 'SiteId': '08'}], 'token': 'R/CttOjflqG55XHt9zr3FdX8kjbKlbkQt002zNgsdSs='};order_id: 416891;cashiername: Dulamsuren
2023-10-18 10:08:14.795721 {'Sales': [{'SaleItems': [{'Barcode': '2301870000007', 'Qty': '1.000', 'ItemDueAmount': 9900}], 'SalePayments': [{'PaymentTypeID': 'QPay', 'PaymentAmount': 9900}], 'TerminalID': '3417', 'CashierEmpCode': '200', 'DDTDNo': '000002057441034231018003417000101', 'TxnType': 'IN', 'SiteId': '08'}], 'token': 'R/CttOjflqG55XHt9zr3FdX8kjbKlbkQt002zNgsdSs='};order_id: 416893;cashiername: Dulamsuren
2023-10-18 10:08:14.795721 {'Sales': [{'SaleItems': [{'Barcode': '3610861144705', 'Qty': '1.000', 'ItemDueAmount': 21900}], 'SalePayments': [{'PaymentTypeID': 'QPay', 'PaymentAmount': 21900}], 'TerminalID': '3404', 'CashierEmpCode': '196', 'DDTDNo': '000002057441034231018003404000065', 'TxnType': 'IN', 'SiteId': '08'}], 'token': 'R/CttOjflqG55XHt9zr3FdX8kjbKlbkQt002zNgsdSs='};order_id: 416868;cashiername: Dulamsuren
2023-10-18 10:08:14.795721 {'Sales': [{'SaleItems': [{'Barcode': '8656488103171', 'Qty': '40.000', 'ItemDueAmount': 35200}, {'Barcode': '8801056290016', 'Qty': '4.000', 'ItemDueAmount': 6920}], 'SalePayments': [{'PaymentTypeID': 'Khan Bank', 'PaymentAmount': 42120}], 'TerminalID': '3404', 'CashierEmpCode': '196', 'DDTDNo': '000002057441034231018003404000090', 'TxnType': 'IN', 'SiteId': '08'}], 'token': 'R/CttOjflqG55XHt9zr3FdX8kjbKlbkQt002zNgsdSs='};order_id: 416882;cashiername: Dulamsuren
2023-10-18 10:08:14.795721 {'Sales': [{'SaleItems': [{'Barcode': '8656021175177', 'Qty': '1.000', 'ItemDueAmount': 6420}, {'Barcode': '8654001000419', 'Qty': '4.000', 'ItemDueAmount': 6400}, {'Barcode': '2332020000004', 'Qty': '0.098', 'ItemDueAmount': 956}, {'Barcode': '2320710000007', 'Qty': '0.168', 'ItemDueAmount': 1453}, {'Barcode': '2331322301', 'Qty': '3.000', 'ItemDueAmount': 1380}, {'Barcode': '2086500310021', 'Qty': '1.000', 'ItemDueAmount': 220}, {'Barcode': '8654000102657', 'Qty': '1.000', 'ItemDueAmount': 4960}, {'Barcode': '2325780000001', 'Qty': '0.968', 'ItemDueAmount': 5789}, {'Barcode': '2325470000007', 'Qty': '0.572', 'ItemDueAmount': 4519}], 'SalePayments': [{'PaymentTypeID': 'QPay', 'PaymentAmount': 32097}], 'TerminalID': '3405', 'CashierEmpCode': '221', 'DDTDNo': '000002057441034231018003405000080', 'TxnType': 'IN', 'SiteId': '08'}], 'token': 'R/CttOjflqG55XHt9zr3FdX8kjbKlbkQt002zNgsdSs='};order_id: 416874;cashiername: Dulamsuren
2023-10-18 10:08:14.795721 {'Sales': [{'SaleItems': [{'Barcode': '8656021637125', 'Qty': '1.000', 'ItemDueAmount': 18470}, {'Barcode': '8656020764358', 'Qty': '1.000', 'ItemDueAmount': 4500}], 'SalePayments': [{'PaymentTypeID': 'Golomt Bank', 'PaymentAmount': 22970}], 'TerminalID': '3405', 'CashierEmpCode': '221', 'DDTDNo': '000002057441034231018003405000068', 'TxnType': 'IN', 'SiteId': '08'}], 'token': 'R/CttOjflqG55XHt9zr3FdX8kjbKlbkQt002zNgsdSs='};order_id: 416869;cashiername: Dulamsuren
2023-10-18 10:08:14.795721 {'Sales': [{'SaleItems': [{'Barcode': '8656009401175', 'Qty': '1.000', 'ItemDueAmount': 4030}], 'SalePayments': [{'PaymentTypeID': 'Golomt Bank', 'PaymentAmount': 4030}], 'TerminalID': '3405', 'CashierEmpCode': '221', 'DDTDNo': '000002057441034231018003405000069', 'TxnType': 'IN', 'SiteId': '08'}], 'token': 'R/CttOjflqG55XHt9zr3FdX8kjbKlbkQt002zNgsdSs='};order_id: 416870;cashiername: Dulamsuren
2023-10-18 10:08:14.795721 {'Sales': [{'SaleItems': [{'Barcode': '8801056290016', 'Qty': '1.000', 'ItemDueAmount': 1730}, {'Barcode': '4630065252395', 'Qty': '1.000', 'ItemDueAmount': 3190}, {'Barcode': '8656008520174', 'Qty': '1.000', 'ItemDueAmount': 7620}, {'Barcode': '7622201778484', 'Qty': '1.000', 'ItemDueAmount': 3160}, {'Barcode': '8656021373344', 'Qty': '1.000', 'ItemDueAmount': 2200}], 'SalePayments': [{'PaymentTypeID': 'Golomt Bank', 'PaymentAmount': 17900}], 'TerminalID': '3405', 'CashierEmpCode': '221', 'DDTDNo': '000002057441034231018003405000094', 'TxnType': 'IN', 'SiteId': '08'}], 'token': 'R/CttOjflqG55XHt9zr3FdX8kjbKlbkQt002zNgsdSs='};order_id: 416886;cashiername: Dulamsuren
2023-10-18 10:08:14.795721 {'Sales': [{'SaleItems': [{'Barcode': '2323130000008', 'Qty': '0.500', 'ItemDueAmount': 18000}, {'Barcode': '8656000413184', 'Qty': '1.000', 'ItemDueAmount': 4500}, {'Barcode': '2325760000007', 'Qty': '1.102', 'ItemDueAmount': 6590}, {'Barcode': '2325140000009', 'Qty': '0.430', 'ItemDueAmount': 4945}, {'Barcode': '2304050000002', 'Qty': '1.000', 'ItemDueAmount': 4500}, {'Barcode': '8656020655083', 'Qty': '1.000', 'ItemDueAmount': 1600}, {'Barcode': '2086500310021', 'Qty': '1.000', 'ItemDueAmount': 220}, {'Barcode': '3560070182367', 'Qty': '1.000', 'ItemDueAmount': 5950}, {'Barcode': '8656900026187', 'Qty': '1.000', 'ItemDueAmount': 3380}, {'Barcode': '3616473070067', 'Qty': '1.000', 'ItemDueAmount': 9100}, {'Barcode': '7622210309358', 'Qty': '1.000', 'ItemDueAmount': 2140}, {'Barcode': '686464447003', 'Qty': '1.000', 'ItemDueAmount': 5120}, {'Barcode': '2325480000004', 'Qty': '0.344', 'ItemDueAmount': 3750}, {'Barcode': '8801118001031', 'Qty': '1.000', 'ItemDueAmount': 9400}, {'Barcode': '8656020764358', 'Qty': '1.000', 'ItemDueAmount': 4500}, {'Barcode': '3560071096786', 'Qty': '1.000', 'ItemDueAmount': 6900}], 'SalePayments': [{'PaymentTypeID': 'Khan Bank', 'PaymentAmount': 90595}], 'TerminalID': '3405', 'CashierEmpCode': '221', 'DDTDNo': '000002057441034231018003405000073', 'TxnType': 'IN', 'SiteId': '08'}], 'token': 'R/CttOjflqG55XHt9zr3FdX8kjbKlbkQt002zNgsdSs='};order_id: 416872;cashiername: Dulamsuren
2023-10-18 10:08:14.795721 {'Sales': [{'SaleItems': [{'Barcode': '8719987152719', 'Qty': '1.000', 'ItemDueAmount': 3000}, {'Barcode': '46103451', 'Qty': '1.000', 'ItemDueAmount': 1430}, {'Barcode': '3560071422240', 'Qty': '2.000', 'ItemDueAmount': 6440}], 'SalePayments': [{'PaymentTypeID': 'Golomt Bank', 'PaymentAmount': 10870}], 'TerminalID': '3404', 'CashierEmpCode': '196', 'DDTDNo': '000002057441034231018003404000088', 'TxnType': 'IN', 'SiteId': '08'}], 'token': 'R/CttOjflqG55XHt9zr3FdX8kjbKlbkQt002zNgsdSs='};order_id: 416880;cashiername: Dulamsuren
2023-10-18 10:08:14.795721 {'Sales': [{'SaleItems': [{'Barcode': '4607176440256', 'Qty': '1.000', 'ItemDueAmount': 7610}, {'Barcode': '8656020681013', 'Qty': '2.000', 'ItemDueAmount': 3000}, {'Barcode': '8656020764358', 'Qty': '1.000', 'ItemDueAmount': 4500}, {'Barcode': '4607037122345', 'Qty': '1.000', 'ItemDueAmount': 7320}, {'Barcode': '2360080000009', 'Qty': '0.500', 'ItemDueAmount': 14750}, {'Barcode': '2360080000009', 'Qty': '0.602', 'ItemDueAmount': 17759}, {'Barcode': '2086500310021', 'Qty': '1.000', 'ItemDueAmount': 220}, {'Barcode': '8654000102664', 'Qty': '1.000', 'ItemDueAmount': 5400}, {'Barcode': '2360190000005', 'Qty': '0.462', 'ItemDueAmount': 14243}, {'Barcode': '2304050000002', 'Qty': '1.000', 'ItemDueAmount': 4500}, {'Barcode': '8656004280171', 'Qty': '1.000', 'ItemDueAmount': 2530}, {'Barcode': '8656021175146', 'Qty': '1.000', 'ItemDueAmount': 7390}, {'Barcode': '3270190130796', 'Qty': '1.000', 'ItemDueAmount': 1630}], 'SalePayments': [{'PaymentTypeID': 'Cash', 'PaymentAmount': 90850}], 'TerminalID': '3403', 'CashierEmpCode': '194', 'DDTDNo': '000002057441034231018003403000083', 'TxnType': 'IN', 'SiteId': '08'}], 'token': 'R/CttOjflqG55XHt9zr3FdX8kjbKlbkQt002zNgsdSs='};order_id: 416875;cashiername: Dulamsuren
2023-10-18 10:08:14.795721 {'Sales': [{'SaleItems': [{'Barcode': '2330410000009', 'Qty': '2.000', 'ItemDueAmount': 600}], 'SalePayments': [{'PaymentTypeID': 'Cash', 'PaymentAmount': 600}], 'TerminalID': '3404', 'CashierEmpCode': '196', 'DDTDNo': '000002057441034231018003404000087', 'TxnType': 'IN', 'SiteId': '08'}], 'token': 'R/CttOjflqG55XHt9zr3FdX8kjbKlbkQt002zNgsdSs='};order_id: 416879;cashiername: Dulamsuren
2023-10-18 10:08:14.795721 {'Sales': [{'SaleItems': [{'Barcode': '8654170102075', 'Qty': '1.000', 'ItemDueAmount': 6280}, {'Barcode': '8656000106031', 'Qty': '2.000', 'ItemDueAmount': 7440}, {'Barcode': '8656000106093', 'Qty': '1.000', 'ItemDueAmount': 3720}, {'Barcode': '2086500310021', 'Qty': '1.000', 'ItemDueAmount': 220}, {'Barcode': '8656021175245', 'Qty': '1.000', 'ItemDueAmount': 8170}, {'Barcode': '8656021175146', 'Qty': '1.000', 'ItemDueAmount': 7390}], 'SalePayments': [{'PaymentTypeID': 'Cash', 'PaymentAmount': 33220}], 'TerminalID': '3404', 'CashierEmpCode': '196', 'DDTDNo': '000002057441034231018003404000084', 'TxnType': 'IN', 'SiteId': '08'}], 'token': 'R/CttOjflqG55XHt9zr3FdX8kjbKlbkQt002zNgsdSs='};order_id: 416876;cashiername: Dulamsuren
2023-10-18 10:08:14.795721 {'Sales': [{'SaleItems': [{'Barcode': '2360080000009', 'Qty': '0.120', 'ItemDueAmount': 3540}], 'SalePayments': [{'PaymentTypeID': 'Cash', 'PaymentAmount': 3540}], 'TerminalID': '3404', 'CashierEmpCode': '196', 'DDTDNo': '000002057441034231018003404000092', 'TxnType': 'IN', 'SiteId': '08'}], 'token': 'R/CttOjflqG55XHt9zr3FdX8kjbKlbkQt002zNgsdSs='};order_id: 416884;cashiername: Dulamsuren
2023-10-18 10:08:14.795721 {'Sales': [{'SaleItems': [{'Barcode': '8656021324803', 'Qty': '1.000', 'ItemDueAmount': 11750}], 'SalePayments': [{'PaymentTypeID': 'Golomt Bank', 'PaymentAmount': 11750}], 'TerminalID': '3404', 'CashierEmpCode': '196', 'DDTDNo': '000002057441034231018003404000100', 'TxnType': 'IN', 'SiteId': '08'}], 'token': 'R/CttOjflqG55XHt9zr3FdX8kjbKlbkQt002zNgsdSs='};order_id: 416892;cashiername: Dulamsuren
2023-10-18 10:08:14.795721 {'Sales': [{'SaleItems': [{'Barcode': '8656021373139', 'Qty': '1.000', 'ItemDueAmount': 3990}, {'Barcode': '8656488108176', 'Qty': '1.000', 'ItemDueAmount': 2590}, {'Barcode': '8656900018182', 'Qty': '2.000', 'ItemDueAmount': 780}, {'Barcode': '4015100806144', 'Qty': '1.000', 'ItemDueAmount': 11380}, {'Barcode': '8719987404900', 'Qty': '1.000', 'ItemDueAmount': 3000}, {'Barcode': '8719202105773', 'Qty': '1.000', 'ItemDueAmount': 3000}, {'Barcode': '6914068038469', 'Qty': '1.000', 'ItemDueAmount': 1140}, {'Barcode': '8656900023186', 'Qty': '1.000', 'ItemDueAmount': 3560}, {'Barcode': '8656900026187', 'Qty': '1.000', 'ItemDueAmount': 3380}, {'Barcode': '2086500310014', 'Qty': '1.000', 'ItemDueAmount': 370}, {'Barcode': '8654000560846', 'Qty': '1.000', 'ItemDueAmount': 2420}, {'Barcode': '8658000659517', 'Qty': '1.000', 'ItemDueAmount': 4360}, {'Barcode': '8719202279061', 'Qty': '1.000', 'ItemDueAmount': 8000}, {'Barcode': '4607111034199', 'Qty': '1.000', 'ItemDueAmount': 7920}, {'Barcode': '3500610044373', 'Qty': '1.000', 'ItemDueAmount': 16930}, {'Barcode': '3560070511723', 'Qty': '1.000', 'ItemDueAmount': 79500}], 'SalePayments': [{'PaymentTypeID': 'QPay', 'PaymentAmount': 152320}], 'TerminalID': '3405', 'CashierEmpCode': '221', 'DDTDNo': '000002057441034231018003405000097', 'TxnType': 'IN', 'SiteId': '08'}], 'token': 'R/CttOjflqG55XHt9zr3FdX8kjbKlbkQt002zNgsdSs='};order_id: 416889;cashiername: Dulamsuren
2023-10-18 10:08:14.795721 {'Sales': [{'SaleItems': [{'Barcode': '2323230000007', 'Qty': '0.198', 'ItemDueAmount': 3564}, {'Barcode': '2086500310021', 'Qty': '1.000', 'ItemDueAmount': 220}, {'Barcode': '8719987046056', 'Qty': '2.000', 'ItemDueAmount': 20000}, {'Barcode': '8654000550229', 'Qty': '3.000', 'ItemDueAmount': 3810}, {'Barcode': '8656021373344', 'Qty': '3.000', 'ItemDueAmount': 6600}, {'Barcode': '4891199182334', 'Qty': '6.000', 'ItemDueAmount': 9000}, {'Barcode': '4891199182365', 'Qty': '6.000', 'ItemDueAmount': 9000}, {'Barcode': '8711295463037', 'Qty': '1.000', 'ItemDueAmount': 3000}, {'Barcode': '8719987363535', 'Qty': '1.000', 'ItemDueAmount': 3000}, {'Barcode': '8719202540239', 'Qty': '2.000', 'ItemDueAmount': 20000}, {'Barcode': '8719202105315', 'Qty': '1.000', 'ItemDueAmount': 5000}], 'SalePayments': [{'PaymentTypeID': 'QPay', 'PaymentAmount': 83194}], 'TerminalID': '3404', 'CashierEmpCode': '196', 'DDTDNo': '000002057441034231018003404000098', 'TxnType': 'IN', 'SiteId': '08'}], 'token': 'R/CttOjflqG55XHt9zr3FdX8kjbKlbkQt002zNgsdSs='};order_id: 416890;cashiername: Dulamsuren
2023-10-18 10:08:14.795721 {'Sales': [{'SaleItems': [{'Barcode': '2325690000009', 'Qty': '1.672', 'ItemDueAmount': 2458}, {'Barcode': '8656004268179', 'Qty': '1.000', 'ItemDueAmount': 2640}, {'Barcode': '2325750000000', 'Qty': '0.400', 'ItemDueAmount': 1000}, {'Barcode': '2086500310021', 'Qty': '1.000', 'ItemDueAmount': 220}, {'Barcode': '8658000132867', 'Qty': '1.000', 'ItemDueAmount': 3900}, {'Barcode': '8656170005035', 'Qty': '1.000', 'ItemDueAmount': 4140}, {'Barcode': '2332360000009', 'Qty': '1.000', 'ItemDueAmount': 2900}, {'Barcode': '2332410000003', 'Qty': '1.000', 'ItemDueAmount': 3600}, {'Barcode': '2340140000002', 'Qty': '0.786', 'ItemDueAmount': 14620}, {'Barcode': '8656170018257', 'Qty': '2.000', 'ItemDueAmount': 3040}, {'Barcode': '8801252260301', 'Qty': '1.000', 'ItemDueAmount': 4430}, {'Barcode': '8718158135230', 'Qty': '1.000', 'ItemDueAmount': 3000}], 'SalePayments': [{'PaymentTypeID': 'Cash', 'PaymentAmount': 45950}], 'TerminalID': '3404', 'CashierEmpCode': '196', 'DDTDNo': '000002057441034231018003404000104', 'TxnType': 'IN', 'SiteId': '08'}], 'token': 'R/CttOjflqG55XHt9zr3FdX8kjbKlbkQt002zNgsdSs='};order_id: 416894;cashiername: Dulamsuren
2023-10-18 10:19:42.557955 {'Sales': [{'SaleItems': [{'Barcode': '2301870000007', 'Qty': '1.000', 'ItemDueAmount': 9900}], 'SalePayments': [{'PaymentTypeID': 'QPay', 'PaymentAmount': 9900}], 'TerminalID': '3417', 'CashierEmpCode': '200', 'DDTDNo': '000002057441034231018003417000109', 'TxnType': 'IN', 'SiteId': '08', 'SalesNo': '23101808123123'}], 'token': 'R/CttOjflqG55XHt9zr3FdX8kjbKlbkQt002zNgsdSs='};order_id: 416897;cashiername: Dulamsuren
2023-10-18 10:19:42.557955 {'Sales': [{'SaleItems': [{'Barcode': '2322980000008', 'Qty': '0.114', 'ItemDueAmount': 3990}, {'Barcode': '2323090000001', 'Qty': '0.198', 'ItemDueAmount': 3960}, {'Barcode': '8656009403179', 'Qty': '1.000', 'ItemDueAmount': 4410}, {'Barcode': '6921555586501', 'Qty': '1.000', 'ItemDueAmount': 3720}, {'Barcode': '3616181659974', 'Qty': '1.000', 'ItemDueAmount': 3700}, {'Barcode': '2086500310021', 'Qty': '1.000', 'ItemDueAmount': 220}], 'SalePayments': [{'PaymentTypeID': 'Golomt Bank', 'PaymentAmount': 20000}], 'TerminalID': '3404', 'CashierEmpCode': '196', 'DDTDNo': '000002057441034231018003404000111', 'TxnType': 'IN', 'SiteId': '08', 'SalesNo': '23101808123123'}], 'token': 'R/CttOjflqG55XHt9zr3FdX8kjbKlbkQt002zNgsdSs='};order_id: 416899;cashiername: Dulamsuren
2023-10-18 10:19:42.557955 {'Sales': [{'SaleItems': [{'Barcode': '6975239287246', 'Qty': '2.000', 'ItemDueAmount': 6460}, {'Barcode': '4897062740526', 'Qty': '2.000', 'ItemDueAmount': 5620}, {'Barcode': '8690526015750', 'Qty': '4.000', 'ItemDueAmount': 8800}, {'Barcode': '6970866892122', 'Qty': '1.000', 'ItemDueAmount': 1800}], 'SalePayments': [{'PaymentTypeID': 'Golomt Bank', 'PaymentAmount': 22680}], 'TerminalID': '3404', 'CashierEmpCode': '196', 'DDTDNo': '000002057441034231018003404000110', 'TxnType': 'IN', 'SiteId': '08', 'SalesNo': '23101808123123'}], 'token': 'R/CttOjflqG55XHt9zr3FdX8kjbKlbkQt002zNgsdSs='};order_id: 416898;cashiername: Dulamsuren
